카테고리목록,언급횟수
문구/사무용품>사무용지,396
반려/애완용품>강아지/고양이 겸용,396
가구/인테리어>DIY/리폼/주문가구,396
주방용품>그릇/홈세트,392
주방용품>프라이팬,392
문방구/사무/종이>팬시/디자인문구,391
가구/DIY/시공>야외 / 이외 가구,390
문구/사무용품>포장용품,390
음료/과자/가공식품>빵/케익/선물바구니,388
과자/간식>빵/베이커리,388
생활용품>세탁용품,387
즉석/간식/가공식품>빵/케익/베이커리,387
생활/욕실/수납용품>문손잡이,387
주방/수입주방>보관/밀폐용기,386
생활/욕실/수납용품>행거/드레스룸,386
수납정리용품>행거,385
생활용품>안전용품,376
주방용품>보관용기,362
가구/인테리어>홈데코,359
조명/인테리어>홈리뉴얼,359
주방용품/수입주방>홈세트/식기류,356
주방용품>조리용품,352
문구/팬시용품>필기도구,349
주방용품/수입주방>조리기구/수저,342
브랜드 언더웨어>여성 언더웨어,339
시계/쥬얼리/선글라스>패션쥬얼리&소품,338
공구/포장재/안전용품>페인트/용품,324
전기/산업자재>페인트/용품,324
공구/설비자재>안전용품,323
구기/라켓>축구용품,322
문구/팬시용품>노트/수첩/다이어리,322
주방/수입주방>조리기구,320
패션잡화>남성신발,319
주방용품>물병/물통,318
생활용품>도장용품,313
도서음반/e교육>음반,312
가방/패션잡화>명품가방,311
반려/애완용품>강아지 사료/간식/영양제,305
공구/안전/산업용품>에어/유압공구,303
공구/안전/산업용품>안전용품,302
안전/보안용품>안전보호구,300
패션잡화>주얼리,298
애완/곤충/관상어용품>애견간식,298
디자인/문구/사무용품>사무기기,295
반려동물용품>고양이용품,294
가구/홈데코>원예/가드닝,292
강아지용품>간식,290
반려동물/애완용품>강아지 간식,290
반려동물용품>강아지 간식,290
도서·교육·취미>원예·가드닝,286
세제/제지/일용잡화>일회용품/주거잡화,285
강아지용품>패션/잡화,284
화장품/향수>이미용소품,284
공구/안전/산업용품>전기/전선용품,282
전기/산업자재>전기생활용품,282
생활/건강>수납/정리용품,280
반려/애완용품>강아지용품,277
꽃/이벤트용품>정원/원예용품,276
스포츠>구기·라켓·기타스포츠,276
꽃/이벤트용품>이벤트/파티용품,270
주방용품>컵/잔,268
쥬얼리/시계/선글라스>헤어액세서리,267
문구/오피스>사무기기,264
주방용품>식기/홈세트,263
자동차용품>외부용품,261
침구/커튼/장식소품>홈패브릭/DIY/수예,259
가방/패션잡화>남성가방,258
세제/구강>주방소모품,256
생활용품>수납/정리,255
패션잡화>남성가방,251
문방구/사무/종이>사무기기,251
문구/사무용품>사무기기,251
공구/포장재/안전용품>연결/고정용품,251
문구/사무>사무기기/광학기기,249
자동차용품>인테리어용품,248
주방/수입주방>식기류,248
주방/수입주방>냄비,245
쥬얼리/시계>헤어액세서리,245
주방용품>냄비,245
디자인/문구/사무용품>가위/칼/풀,243
장난감>교육완구,242
휴대폰>보호필름/강화유리,241
생활/건강>수집품,240
생활·주방>청소용품,239
홈패브릭/수예>주방패브릭,239
패션잡화>패션소품,233
생활/건강>생활용품,232
가구·홈·데코>조명·스탠드,232
문구/팬시용품>팬시/포장용품,232
가방/잡화>백팩/캐주얼가방,230
반려동물/애완용품>애완 야외용품,229
